query_type,case_id,query,predicted,expected,exact_match,missing,extra,error
1p,129,"(526, (97,))",[62972],[62972],True,[],[],
1p,130,"(1575, (657,))","[12814, 16326, 23105, 30026, 30603, 32865, 46642, 72249, 73821]","[12814, 16326, 23105, 30026, 30603, 32865, 46642, 72249, 73821]",True,[],[],
1p,131,"(20780, (7785,))",[82102],[82102],True,[],[],
1p,132,"(847, (8,))","[41596, 59780, 69947]","[41596, 59780, 69947]",True,[],[],
1p,133,"(5376, (99,))","[61966, 68337]","[61966, 68337]",True,[],[],
1p,134,"(6089, (274,))","[6090, 42048, 64770]","[6090, 42048, 64770]",True,[],[],
1p,135,"(5771, (210,))",[5772],[5772],True,[],[],
1p,136,"(3924, (3,))",[16718],[16718],True,[],[],
1p,137,"(4878, (1794,))",[77289],[77289],True,[],[],
1p,138,"(2295, (88,))","[5552, 63054, 82216]","[5552, 63054, 82216]",True,[],[],
1p,139,"(1504, (5429,))","[36456, 59272, 63986, 67901]","[36456, 59272, 63986, 67901]",True,[],[],
1p,140,"(2924, (473,))","[34785, 37410, 46892, 52189, 53886, 59283, 77294]","[34785, 37410, 46892, 52189, 53886, 59283, 77294]",True,[],[],
1p,141,"(1451, (675,))","[18758, 38240, 39223, 45096, 49167, 51150, 53302, 80737]","[18758, 38240, 39223, 45096, 49167, 51150, 53302, 80737]",True,[],[],
1p,142,"(3056, (1501,))","[22553, 58734, 74108]","[22553, 58734, 74108]",True,[],[],
1p,143,"(19690, (545,))",[68081],[68081],True,[],[],
1p,144,"(3778, (183,))","[3779, 5419, 14524, 19776, 28721, 29701, 34282, 63441, 70273, 78387, 79893]","[3779, 5419, 14524, 19776, 28721, 29701, 34282, 63441, 70273, 78387, 79893]",True,[],[],
1p,145,"(7525, (45,))",[67297],[67297],True,[],[],
1p,146,"(9943, (927,))","[8265, 12410, 13438, 13969, 26007, 30712, 32915, 37854, 53258, 60430]","[8265, 12410, 13438, 13969, 26007, 30712, 32915, 37854, 53258, 60430]",True,[],[],
1p,147,"(2694, (472,))","[586, 632]","[586, 632]",True,[],[],
1p,148,"(4608, (507,))","[36426, 67777]","[36426, 67777]",True,[],[],
1p,149,"(8700, (82,))","[8701, 12539, 14053, 25742, 31037, 38177, 38840, 41381, 50685, 61099, 61706, 62997, 65912, 69068, 72299, 74273, 75357, 75887, 83159, 83526]","[8701, 12539, 14053, 25742, 31037, 38177, 38840, 41381, 50685, 61099, 61706, 62997, 65912, 69068, 72299, 74273, 75357, 75887, 83159, 83526]",True,[],[],
1p,150,"(6742, (102,))","[12369, 13194, 21157, 22422, 26605, 41065, 44617, 54012, 75231]","[12369, 13194, 21157, 22422, 26605, 41065, 44617, 54012, 75231]",True,[],[],
2p,1,"(903, (307, 15))","[44659, 66586]","[44659, 66586]",True,[],[],
2p,2,"(9651, (1119, 748))","[20769, 42013, 42380, 54106, 73787, 78541]","[20769, 42013, 42380, 54106, 73787, 78541]",True,[],[],
2p,3,"(2965, (474, 962))",[69362],[69362],True,[],[],
2p,4,"(16732, (1634, 211))","[6863, 11335, 40730, 78809]","[6863, 11335, 40730, 78809]",True,[],[],
2p,5,"(6519, (35, 3225))",[18474],[18474],True,[],[],
2p,6,"(10334, (3042, 5943))","[41112, 63652, 69785, 77351, 82152]","[41112, 63652, 69785, 77351, 82152]",True,[],[],
2p,7,"(10127, (383, 4))",[23158],[23158],True,[],[],
2p,8,"(183, (35, 99))",[76192],[76192],True,[],[],
2p,9,"(12131, (588, 21))","[8736, 12132, 22958, 26887, 35457, 53185, 63262, 66540, 78019]","[8736, 12132, 22958, 26887, 35457, 53185, 63262, 66540, 78019]",True,[],[],
2p,10,"(8692, (202, 515))","[6844, 12055, 59294, 60590, 65810, 75828, 83547]","[6844, 12055, 59294, 60590, 65810, 75828, 83547]",True,[],[],
2p,11,"(471, (1057, 102))","[30272, 38470, 50542, 60314, 62254, 83613, 84245]","[30272, 38470, 50542, 60314, 62254, 83613, 84245]",True,[],[],
2p,12,"(10270, (28, 5359))","[79419, 83429]","[79419, 83429]",True,[],[],
2p,13,"(13192, (162, 401))",[10324],[10324],True,[],[],
2p,14,"(18634, (4, 1753))",[72468],[72468],True,[],[],
2p,15,"(2749, (4319, 6053))","[32770, 49278]","[32770, 49278]",True,[],[],
2p,16,"(7720, (226, 560))",[43492],[43492],True,[],[],
2p,17,"(10408, (1119, 1186))","[7645, 10715, 16547, 16839, 21625, 25267, 32293, 34427, 45583, 45822, 47669, 49463, 54836, 55903, 55923, 56467, 63074, 67286, 72127]","[7645, 10715, 16547, 16839, 21625, 25267, 32293, 34427, 45583, 45822, 47669, 49463, 54836, 55903, 55923, 56467, 63074, 67286, 72127]",True,[],[],
2p,18,"(2081, (474, 14))","[12682, 36653, 42465, 51323]","[12682, 36653, 42465, 51323]",True,[],[],
2p,19,"(16331, (6193, 88))",[40972],[40972],True,[],[],
2p,20,"(6683, (202, 202))","[12037, 20950, 45340, 51155]","[12037, 20950, 45340, 51155]",True,[],[],
2p,21,"(9544, (202, 1898))","[7534, 11894]","[7534, 11894]",True,[],[],
2p,22,"(11238, (162, 153))",[56207],[56207],True,[],[],
2p,23,"(6888, (1395, 2308))","[12384, 12739, 13240, 22943, 24359, 24872, 27073, 33724, 33942, 35094, 36118, 36588, 37336, 38012, 39533, 39635, 40544, 41424, 41741, 44205, 47006, 48533, 50134, 52126, 52988, 53121, 54330, 54665, 56947, 57148, 57907, 58751, 60164, 61481, 62027, 63221, 68120, 68248, 68428, 69594, 76997, 77453, 78747, 79225, 82990, 83917, 84834]","[12384, 12739, 13240, 22943, 24359, 24872, 27073, 33724, 33942, 35094, 36118, 36588, 37336, 38012, 39533, 39635, 40544, 41424, 41741, 44205, 47006, 48533, 50134, 52126, 52988, 53121, 54330, 54665, 56947, 57148, 57907, 58751, 60164, 61481, 62027, 63221, 68120, 68248, 68428, 69594, 76997, 77453, 78747, 79225, 82990, 83917, 84834]",True,[],[],
2p,24,"(16129, (515, 2))","[296, 47247]","[296, 47247]",True,[],[],
2p,25,"(9391, (2292, 339))",[82322],[82322],True,[],[],
2p,26,"(6532, (3, 21))",[30279],[30279],True,[],[],
2p,27,"(7929, (1686, 292))","[59663, 74307]","[59663, 74307]",True,[],[],
2p,28,"(20700, (131, 7073))",[10381],[10381],True,[],[],
2p,29,"(13632, (2066, 2153))","[25053, 25058, 35402, 65337]","[25053, 25058, 35402, 65337]",True,[],[],
2p,30,"(9882, (640, 550))",[83829],[83829],True,[],[],
2p,31,"(12287, (35, 675))",[82044],[82044],True,[],[],
2p,32,"(10327, (2292, 9082))",[83375],[83375],True,[],[],
2p,33,"(8285, (3042, 764))",[71429],[71429],True,[],[],
2p,34,"(386, (376, 261))","[16825, 24203, 35848, 77417]","[16825, 24203, 35848, 77417]",True,[],[],
2p,35,"(5918, (102, 176))",[10731],[10731],True,[],[],
2p,36,"(6598, (688, 1034))","[4448, 4553, 11116, 11148, 14138, 14372, 14687, 15290, 18559, 18797, 18868, 20778, 25395, 31146, 31859, 35386, 37045, 38441, 38674, 40142, 42542, 43089, 45033, 49454, 50688, 50968, 53170, 53655, 55113, 55798, 55912, 57334, 58085, 59000, 60665, 61630, 62868, 63390, 66496, 70624, 71689, 72935, 75111, 76973, 78056, 79153, 79928, 81874, 83205, 83595, 83981]","[4448, 4553, 11116, 11148, 14138, 14372, 14687, 15290, 18559, 18797, 18868, 20778, 25395, 31146, 31859, 35386, 37045, 38441, 38674, 40142, 42542, 43089, 45033, 49454, 50688, 50968, 53170, 53655, 55113, 55798, 55912, 57334, 58085, 59000, 60665, 61630, 62868, 63390, 66496, 70624, 71689, 72935, 75111, 76973, 78056, 79153, 79928, 81874, 83205, 83595, 83981]",True,[],[],
2p,37,"(3683, (1523, 864))","[29944, 52136]","[29944, 52136]",True,[],[],
2p,38,"(8620, (478, 6035))",[42056],[42056],True,[],[],
2p,39,"(8293, (3747, 4364))","[33294, 36847]","[33294, 36847]",True,[],[],
2p,40,"(2310, (45, 818))","[3316, 7831, 28308, 60834, 74225]","[3316, 7831, 28308, 60834, 74225]",True,[],[],
2p,41,"(7431, (9424, 1116))","[13710, 18861, 32278, 44254, 45152, 65769, 78767, 79856]","[13710, 18861, 32278, 44254, 45152, 65769, 78767, 79856]",True,[],[],
2p,42,"(1037, (35, 1225))","[41820, 47654]","[41820, 47654]",True,[],[],
2p,43,"(6598, (35, 84))",[26370],[26370],True,[],[],
2p,44,"(12287, (35, 4))","[24636, 54143]","[24636, 54143]",True,[],[],
2p,45,"(696, (255, 618))",[75693],[75693],True,[],[],
2p,46,"(13724, (45, 164))","[63355, 74976]","[63355, 74976]",True,[],[],
2p,47,"(1839, (1316, 243))",[15495],[15495],True,[],[],
2p,48,"(2318, (640, 191))","[6183, 40909, 42575, 58650, 64630, 64955, 66674]","[6183, 40909, 42575, 58650, 64630, 64955, 66674]",True,[],[],
2p,49,"(2895, (102, 116))",[53915],[53915],True,[],[],
2p,50,"(5040, (3042, 271))",[19252],[19252],True,[],[],
2p,51,"(6598, (45, 2614))",[60725],[60725],True,[],[],
2p,52,"(16486, (4, 243))",[59269],[59269],True,[],[],
2p,53,"(696, (35, 91))",[8795],[8795],True,[],[],
2p,54,"(15079, (45, 1046))","[14554, 62630, 78321]","[14554, 62630, 78321]",True,[],[],
2p,55,"(903, (307, 7211))",[54060],[54060],True,[],[],
2p,56,"(4322, (997, 105))","[14441, 15403, 15486, 17696, 18198, 21311, 23623, 27589, 34686, 37550, 38369, 39482, 43721, 47185, 48743, 49105, 54922, 65519, 71800, 74511, 76579, 78909, 79355, 80160, 83623]","[14441, 15403, 15486, 17696, 18198, 21311, 23623, 27589, 34686, 37550, 38369, 39482, 43721, 47185, 48743, 49105, 54922, 65519, 71800, 74511, 76579, 78909, 79355, 80160, 83623]",True,[],[],
2p,57,"(15079, (7459, 160))","[62976, 73323]","[62976, 73323]",True,[],[],
2p,58,"(1133, (14, 276))",[71092],[71092],True,[],[],
2p,59,"(3448, (5903, 28))","[64056, 66259]","[64056, 66259]",True,[],[],
2p,60,"(4059, (475, 62))",[30212],[30212],True,[],[],
2p,61,"(4059, (475, 4))","[63643, 68749]","[63643, 68749]",True,[],[],
2p,62,"(2318, (640, 100))","[229, 6183, 17154, 19875, 37539, 67818, 79613, 84581]","[229, 6183, 17154, 19875, 37539, 67818, 79613, 84581]",True,[],[],
2p,63,"(4120, (3, 393))","[64621, 65056]","[64621, 65056]",True,[],[],
2p,64,"(8547, (45, 3704))",[64795],[64795],True,[],[],
2p,65,"(394, (35, 792))","[46573, 70065, 81545, 83070]","[46573, 70065, 81545, 83070]",True,[],[],
2p,66,"(2385, (162, 6386))",[45126],[45126],True,[],[],
2p,67,"(6104, (1141, 1034))","[1715, 11773, 17637, 17743, 26416, 29581, 40121, 42415, 46879, 49903, 51020, 52196, 54661, 68203, 77837, 79545, 83736]","[1715, 11773, 17637, 17743, 26416, 29581, 40121, 42415, 46879, 49903, 51020, 52196, 54661, 68203, 77837, 79545, 83736]",True,[],[],
2p,68,"(5540, (35, 119))",[80971],[80971],True,[],[],
2p,69,"(9391, (2292, 550))","[30895, 39632, 40395]","[30895, 39632, 40395]",True,[],[],
2p,70,"(2114, (35, 6509))","[46425, 60467, 76128]","[46425, 60467, 76128]",True,[],[],
2p,71,"(16226, (4, 1225))",[11164],[11164],True,[],[],
2p,72,"(5078, (515, 274))","[18174, 52594, 59193]","[18174, 52594, 59193]",True,[],[],
2p,73,"(7687, (743, 183))","[2800, 4524, 4816, 8900, 25685, 63072, 66474, 77529]","[2800, 4524, 4816, 8900, 25685, 63072, 66474, 77529]",True,[],[],
2p,74,"(4703, (9365, 152))","[4668, 25751, 30646, 56148, 57073, 71630, 75549, 82765]","[4668, 25751, 30646, 56148, 57073, 71630, 75549, 82765]",True,[],[],
2p,75,"(20720, (145, 82))","[8701, 12539, 14053, 25742, 31037, 38177, 38840, 41381, 50685, 61099, 61706, 62997, 65912, 69068, 72299, 74273, 75357, 75887, 83159, 83526]","[8701, 12539, 14053, 25742, 31037, 38177, 38840, 41381, 50685, 61099, 61706, 62997, 65912, 69068, 72299, 74273, 75357, 75887, 83159, 83526]",True,[],[],
2p,76,"(3773, (3297, 1007))",[36571],[36571],True,[],[],
2p,77,"(12290, (2292, 257))",[65075],[65075],True,[],[],
2p,78,"(5563, (307, 8395))",[67722],[67722],True,[],[],
2p,79,"(2327, (291, 3741))","[34691, 52734, 57010, 60823, 67551, 73671, 83877]","[34691, 52734, 57010, 60823, 67551, 73671, 83877]",True,[],[],
2p,80,"(4563, (1523, 1899))",[67554],[67554],True,[],[],
2p,81,"(2081, (475, 1157))","[2501, 6183, 6525, 13013, 42605, 50939, 80237]","[2501, 6183, 6525, 13013, 42605, 50939, 80237]",True,[],[],
2p,82,"(3525, (9517, 4))",[26234],[26234],True,[],[],
2p,83,"(100, (588, 662))","[2435, 7249, 8301, 33828, 44241, 82046]","[2435, 7249, 8301, 33828, 44241, 82046]",True,[],[],
2p,84,"(9416, (994, 1130))","[5152, 45026, 47932, 77723]","[5152, 45026, 47932, 77723]",True,[],[],
2p,85,"(2516, (129, 816))","[39300, 40647, 77018]","[39300, 40647, 77018]",True,[],[],
2p,86,"(3527, (3, 1582))","[777, 66783]","[777, 66783]",True,[],[],
2p,87,"(5849, (419, 701))","[2602, 3533, 9115, 10229, 12316, 12705, 13032, 16657, 17965, 21102, 21754, 22182, 23741, 23951, 24391, 24694, 24736, 25676, 27620, 28394, 28506, 28962, 29759, 29884, 34605, 35095, 35489, 41312, 42144, 43119, 43679, 47142, 51978, 60463, 62747, 73860, 76662, 76993, 81203, 82723]","[2602, 3533, 9115, 10229, 12316, 12705, 13032, 16657, 17965, 21102, 21754, 22182, 23741, 23951, 24391, 24694, 24736, 25676, 27620, 28394, 28506, 28962, 29759, 29884, 34605, 35095, 35489, 41312, 42144, 43119, 43679, 47142, 51978, 60463, 62747, 73860, 76662, 76993, 81203, 82723]",True,[],[],
2p,88,"(10334, (3042, 4006))",[76454],[76454],True,[],[],
2p,89,"(1229, (391, 1085))",[15854],[15854],True,[],[],
2p,90,"(9958, (226, 8285))","[66387, 75131]","[66387, 75131]",True,[],[],
2p,91,"(13397, (35, 46))","[15623, 20556, 26880]","[15623, 20556, 26880]",True,[],[],
2p,92,"(5040, (3042, 97))",[81189],[81189],True,[],[],
2p,93,"(696, (255, 12))","[25, 40702, 67450]","[25, 40702, 67450]",True,[],[],
2p,94,"(4322, (997, 45))","[24049, 30234, 32553, 33548, 41758, 48310, 54167, 55389, 56981, 63119, 65614, 70037, 72262, 74657, 76286]","[24049, 30234, 32553, 33548, 41758, 48310, 54167, 55389, 56981, 63119, 65614, 70037, 72262, 74657, 76286]",True,[],[],
2p,95,"(7641, (159, 6937))","[16189, 30944, 50717]","[16189, 30944, 50717]",True,[],[],
2p,96,"(5076, (8, 491))",[78511],[78511],True,[],[],
2p,97,"(11143, (79, 216))","[15956, 24933, 53501, 53614, 58963, 65958, 76023, 78614]","[15956, 24933, 53501, 53614, 58963, 65958, 76023, 78614]",True,[],[],
2p,98,"(7004, (412, 179))",[5090],[5090],True,[],[],
2p,99,"(3202, (11, 8274))",[66250],[66250],True,[],[],
2p,100,"(20, (978, 0))","[11685, 38909]","[11685, 38909]",True,[],[],
2p,101,"(6932, (474, 1179))","[5666, 14160]","[5666, 14160]",True,[],[],
2p,102,"(1013, (2246, 178))",[78231],[78231],True,[],[],
